,beer_names,style,07-28-2022,07-29-2022,07-30-2022,07-31-2022,08-01-2022,08-02-2022
1040,Disciples of Agony,IPA - Imperial / Double,4.31,4.31,4.31,4.31,4.31,4.31
1041,Lords of the Roost,IPA - American,4.04,4.04,4.04,4.04,4.04,4.04
1042,Catacombs of Righteousness,Porter - Other,3.6,3.6,3.6,3.6,3.6,3.6
1043,Asymmetrical Anguish With Coffee Bean,Mild - Other,3.66,3.66,3.66,3.66,3.66,3.66
1044,A Moment For Introspection,Pale Ale - American,3.77,3.77,3.77,3.77,3.77,3.77
1045,Bolo - Earl Grey Latte,Brown Ale - American,3.84,3.84,3.84,3.84,3.84,3.84
1046,Bolo - Cocoa Seeds,Brown Ale - American,3.94,3.94,3.94,3.94,3.94,3.94
1047,Bolo - Hawaiian,Brown Ale - American,3.89,3.89,3.89,3.89,3.89,3.89
1048,Bolo - German Chocolate Cake,Brown Ale - American,4.03,4.03,4.03,4.03,4.03,4.03
1049,Bolo - Horchata,Brown Ale - American,4.07,4.07,4.07,4.07,4.07,4.07
1050,A Lethal Departure Nonetheless,Stout - Imperial / Double,,,,,,
1051,The Objects That We Hold Dear,Sour - Other,,,,,,
1052,The Exodus of Salvation,Sour - Other,3.89,3.89,3.89,3.89,3.89,3.89
1053,Disciples of Tormenting Ruin,IPA - Imperial / Double,,,,,,
1054,Streak of Blood,IPA - Imperial / Double,4.01,4.01,4.01,4.01,4.01,4.01
1055,Impaled By Indoctrination,IPA - American,3.99,3.99,3.99,3.99,3.99,3.99
1056,ICED,Lager - American,3.7,3.7,3.7,3.7,3.7,3.7
1057,Kilometer 0,Lager - Strong,,,,,,
1058,For Now We Are Laid To Rest,Brown Ale - Other,4.32,4.32,4.32,4.32,4.32,4.32
1059,A Shrine of Nonexistence,Stout - Imperial / Double,4.5,4.5,4.5,4.5,4.5,4.5
1060,Portal Beyond Nonexistence,Stout - Imperial / Double,4.54,4.54,4.54,4.54,4.54,4.54
1061,The Brightly Lit Trail of the Dead,IPA - Imperial / Double,4.35,4.35,4.35,4.35,4.35,4.35
1062,Under A Tide of Eternal Conquest,IPA - Imperial / Double,4.26,4.26,4.26,4.26,4.26,4.26
1063,Sirens of Abstraction,Kellerbier / Zwickelbier,3.85,3.85,3.85,3.85,3.85,3.85
1064,Tombs of Technicolor,Sour - Other,4.1,4.1,4.1,4.1,4.1,4.1
1065,The Extinction of Useless Light,Sour - Other,4.12,4.12,4.12,4.12,4.12,4.12
1066,The Nothing They Need,IPA - American,3.96,3.96,3.96,3.96,3.96,3.96
1067,Mild Ale With Coffee,Traditional Ale,,,,,,
1068,Fragmented Shards of Subconscious,IPA - Imperial / Double,4.3,4.3,4.3,4.3,4.3,4.3
1069,March Into Torture,Pale Ale - American,3.8,3.8,3.8,3.8,3.8,3.8
1070,Death Letter Lager,Lager - Dark,,,,,,
1071,Two Things Together,IPA - American,3.85,3.85,3.85,3.85,3.85,3.85
1072,To Wear the Feathers of Slain Beasts,Sour - Other,3.86,3.86,3.86,3.86,3.86,3.86
1073,These Tombs of Technicolor,Sour - Other,3.92,3.92,3.92,3.92,3.92,3.92
1074,This Is My Real Face,IPA - Imperial / Double,4.16,4.16,4.16,4.16,4.16,4.16
1075,The Piercing Shrill of Resurrection,Farmhouse Ale - Saison,3.42,3.42,3.42,3.42,3.42,3.42
1076,The Art of Dissonance,Lager - Amber,3.71,3.71,3.71,3.71,3.71,3.71
1077,Warheads Aren't Make Believe,Sour - Other,,,,,,
1078,A Transfiguration of Conscious Avarice,Stout - Imperial / Double,4.28,4.28,4.28,4.28,4.28,4.28
1079,The Steady Death,IPA - American,4.2,4.2,4.2,4.2,4.2,4.2
1080,The Shadow of Our Final Days,IPA - Triple,4.42,4.42,4.42,4.42,4.42,4.42
1081,The Martyr,Stout - Coffee,3.91,3.91,3.91,3.91,3.91,3.91
1082,Things We Leave Behind,Sour - Other,,,,,,
1083,The Gravitational Pull of Inevitability,IPA - Imperial / Double,,,,,,
1084,Passageway To Apocalypse,IPA - Imperial / Double,4.09,4.09,4.09,4.09,4.09,4.09
1085,Spiral,Pilsner - Other,3.69,3.69,3.69,3.69,3.69,3.69
1086,Hollow of Despair,Sour - Other,3.97,3.97,3.97,3.97,3.97,3.97
1087,Rotten Flesh of the Dead and Gone,Stout - Coffee,3.95,3.95,3.95,3.95,3.95,3.95
1088,When You Lay In Your Grave,IPA - Imperial / Double,4.29,4.29,4.29,4.29,4.29,4.29
1089,A Descriptive Nonsense of Deft Ease,IPA - American,,,,,,
1090,The Allure of Total Darkness,Sour - Other,4.34,4.34,4.34,4.34,4.34,4.34
1091,This Earthen Helix of Death,IPA - Imperial / Double,4.26,4.26,4.26,4.26,4.26,4.26
1092,Be Whatever You Shall Manifest,Brown Ale - Imperial / Double,4.25,4.25,4.25,4.25,4.25,4.25
1093,Deliver Us To Evil,Stout - Imperial / Double,4.32,4.32,4.32,4.32,4.32,4.32
1094,Teleportation To the Neverending,Stout - Imperial / Double,4.23,4.23,4.23,4.23,4.23,4.23
1095,Celebration of Evil,Bock - Doppelbock,3.96,3.96,3.96,3.96,3.96,3.96
1096,Celebration of Evil,Bock - Doppelbock,3.96,3.96,3.96,3.96,3.96,
1097,Celebration of Evil,Bock - Doppelbock,3.96,3.96,3.96,3.96,,3.96
1098,Celebration of Evil,Bock - Doppelbock,3.96,3.96,3.96,3.96,,
1099,Celebration of Evil,Bock - Doppelbock,3.96,3.96,3.96,,3.96,3.96
1100,Celebration of Evil,Bock - Doppelbock,3.96,3.96,3.96,,3.96,
1101,Celebration of Evil,Bock - Doppelbock,3.96,3.96,3.96,,,3.96
1102,Celebration of Evil,Bock - Doppelbock,3.96,3.96,3.96,,,
1103,Celebration of Evil,Bock - Doppelbock,3.96,3.96,,3.96,3.96,3.96
1104,Celebration of Evil,Bock - Doppelbock,3.96,3.96,,3.96,3.96,
1105,Celebration of Evil,Bock - Doppelbock,3.96,3.96,,3.96,,3.96
1106,Celebration of Evil,Bock - Doppelbock,3.96,3.96,,3.96,,
1107,Celebration of Evil,Bock - Doppelbock,3.96,3.96,,,3.96,3.96
1108,Celebration of Evil,Bock - Doppelbock,3.96,3.96,,,3.96,
1109,Celebration of Evil,Bock - Doppelbock,3.96,3.96,,,,3.96
1110,Celebration of Evil,Bock - Doppelbock,3.96,3.96,,,,
1111,Celebration of Evil,Bock - Doppelbock,3.96,,3.96,3.96,3.96,3.96
1112,Celebration of Evil,Bock - Doppelbock,3.96,,3.96,3.96,3.96,
1113,Celebration of Evil,Bock - Doppelbock,3.96,,3.96,3.96,,3.96
1114,Celebration of Evil,Bock - Doppelbock,3.96,,3.96,3.96,,
1115,Celebration of Evil,Bock - Doppelbock,3.96,,3.96,,3.96,3.96
1116,Celebration of Evil,Bock - Doppelbock,3.96,,3.96,,3.96,
1117,Celebration of Evil,Bock - Doppelbock,3.96,,3.96,,,3.96
1118,Celebration of Evil,Bock - Doppelbock,3.96,,3.96,,,
1119,Celebration of Evil,Bock - Doppelbock,3.96,,,3.96,3.96,3.96
1120,Celebration of Evil,Bock - Doppelbock,3.96,,,3.96,3.96,
1121,Celebration of Evil,Bock - Doppelbock,3.96,,,3.96,,3.96
1122,Celebration of Evil,Bock - Doppelbock,3.96,,,3.96,,
1123,Celebration of Evil,Bock - Doppelbock,3.96,,,,3.96,3.96
1124,Celebration of Evil,Bock - Doppelbock,3.96,,,,3.96,
1125,Celebration of Evil,Bock - Doppelbock,3.96,,,,,3.96
1126,Celebration of Evil,Bock - Doppelbock,3.96,,,,,
1127,Celebration of Evil,Bock - Doppelbock,,3.96,3.96,3.96,3.96,3.96
1128,Celebration of Evil,Bock - Doppelbock,,3.96,3.96,3.96,3.96,
1129,Celebration of Evil,Bock - Doppelbock,,3.96,3.96,3.96,,3.96
1130,Celebration of Evil,Bock - Doppelbock,,3.96,3.96,3.96,,
1131,Celebration of Evil,Bock - Doppelbock,,3.96,3.96,,3.96,3.96
1132,Celebration of Evil,Bock - Doppelbock,,3.96,3.96,,3.96,
1133,Celebration of Evil,Bock - Doppelbock,,3.96,3.96,,,3.96
1134,Celebration of Evil,Bock - Doppelbock,,3.96,3.96,,,
1135,Celebration of Evil,Bock - Doppelbock,,3.96,,3.96,3.96,3.96
1136,Celebration of Evil,Bock - Doppelbock,,3.96,,3.96,3.96,
1137,Celebration of Evil,Bock - Doppelbock,,3.96,,3.96,,3.96
1138,Celebration of Evil,Bock - Doppelbock,,3.96,,3.96,,
1139,Celebration of Evil,Bock - Doppelbock,,3.96,,,3.96,3.96
1140,Celebration of Evil,Bock - Doppelbock,,3.96,,,3.96,
1141,Celebration of Evil,Bock - Doppelbock,,3.96,,,,3.96
1142,Celebration of Evil,Bock - Doppelbock,,3.96,,,,
1143,Celebration of Evil,Bock - Doppelbock,,,3.96,3.96,3.96,3.96
1144,Celebration of Evil,Bock - Doppelbock,,,3.96,3.96,3.96,
1145,Celebration of Evil,Bock - Doppelbock,,,3.96,3.96,,3.96
1146,Celebration of Evil,Bock - Doppelbock,,,3.96,3.96,,
1147,Celebration of Evil,Bock - Doppelbock,,,3.96,,3.96,3.96
1148,Celebration of Evil,Bock - Doppelbock,,,3.96,,3.96,
1149,Celebration of Evil,Bock - Doppelbock,,,3.96,,,3.96
1150,Celebration of Evil,Bock - Doppelbock,,,3.96,,,
1151,Celebration of Evil,Bock - Doppelbock,,,,3.96,3.96,3.96
1152,Celebration of Evil,Bock - Doppelbock,,,,3.96,3.96,
1153,Celebration of Evil,Bock - Doppelbock,,,,3.96,,3.96
1154,Celebration of Evil,Bock - Doppelbock,,,,3.96,,
1155,Celebration of Evil,Bock - Doppelbock,,,,,3.96,3.96
1156,Celebration of Evil,Bock - Doppelbock,,,,,3.96,
1157,Celebration of Evil,Bock - Doppelbock,,,,,,3.96
1158,Celebration of Evil,Bock - Doppelbock,,,,,,
1159,A Descriptive Nonsense of Deft Ease,Pale Ale - American,3.96,3.96,3.96,3.96,3.96,3.96
1160,Forestry Camp Pils,Pilsner - Other,3.95,3.95,3.95,3.95,3.95,3.95
1161,Extraterrestrial Occult,IPA - American,4.23,4.23,4.23,4.23,4.23,4.23
1162,Coalescence of Hives,Sour - Other,3.94,3.94,3.94,3.94,3.94,3.94
1163,Beyond the Rift,IPA - Triple,4.32,4.32,4.32,4.32,4.32,4.32
1164,The Chorus of Chaos,Brown Ale - Imperial / Double,4.43,4.43,4.43,4.43,4.43,4.43
1165,Glory Is Goldenbock,Bock - Hell / Maibock / Lentebock,3.82,3.82,3.82,3.82,3.82,3.82
1166,Aimless And With Absolute Judgement,Sour - Fruited,4.03,4.03,4.03,4.03,4.03,4.03
1167,Detroit Tiger Blood,Sour - Fruited,,,,,,
1168,Beach Waffles,Stout - American,4.44,4.44,4.44,4.44,4.44,4.44
1169,Perils of Wrath,Sour - Other,3.94,3.94,3.94,3.94,3.94,3.94
1170,Fantastical Apparitions of Nonesuch,Stout - Imperial / Double,4.46,4.46,4.46,4.46,4.46,4.46
1171,Wildly Erratic Conspiracies of Nonesuch,Stout - Imperial / Double,4.4,4.4,4.4,4.4,4.4,4.4
1172,Symptom of Progeny,Sour - Other,4.13,4.13,4.13,4.13,4.13,4.13
1173,Coffeeclock,Pilsner - Other,,,,,,
1174,I Learned It By Watching You,IPA - Imperial / Double,4.31,4.31,4.31,4.31,4.31,4.31
1175,Existential Dread,IPA - Imperial / Double,4.24,4.24,4.24,4.24,4.24,4.24
1176,The Absolution,Brown Ale - American,3.76,3.76,3.76,3.76,3.76,3.76
1177,"My Dreams, Come True",Stout - Imperial / Double,4.36,4.36,4.36,4.36,4.36,4.36
1178,Who Knew,Stout - Imperial / Double,4.31,4.31,4.31,4.31,4.31,4.31
1179,A Doom For the Superorganism,IPA - Imperial / Double,4.23,4.23,4.23,4.23,4.23,4.23
1180,Apt Sacrifice,Lager - American,3.75,3.75,3.75,3.75,3.75,3.75
1181,The Mercy,Porter - American,3.87,3.87,3.87,3.87,3.87,3.87
1182,A Modern Ballad of Self-Torture,IPA - American,4.19,4.19,4.19,4.19,4.19,4.19
1183,The Inception of Ritualistic Malice,IPA - American,4.11,4.11,4.11,4.11,4.11,4.11
1184,A Righteousness All For Naught,Stout - Imperial / Double,4.41,4.41,4.41,4.41,4.41,4.41
1185,Finite Spectrum of Existence,IPA - Triple,4.36,4.36,4.36,4.36,4.36,4.36
1186,A Divine Intervention That Came To Naught,Stout - Imperial / Double,4.38,4.38,4.38,4.38,4.38,4.38
1187,When We Were the Sky,Sour - Traditional Gose,3.98,3.98,3.98,3.98,3.98,3.98
1188,When We Were the Sky,Sour - Traditional Gose,3.98,3.98,3.98,3.98,3.98,
1189,When We Were the Sky,Sour - Traditional Gose,3.98,3.98,3.98,3.98,,3.98
1190,When We Were the Sky,Sour - Traditional Gose,3.98,3.98,3.98,3.98,,
1191,When We Were the Sky,Sour - Traditional Gose,3.98,3.98,3.98,,3.98,3.98
1192,When We Were the Sky,Sour - Traditional Gose,3.98,3.98,3.98,,3.98,
1193,When We Were the Sky,Sour - Traditional Gose,3.98,3.98,3.98,,,3.98
1194,When We Were the Sky,Sour - Traditional Gose,3.98,3.98,3.98,,,
1195,When We Were the Sky,Sour - Traditional Gose,3.98,3.98,,3.98,3.98,3.98
1196,When We Were the Sky,Sour - Traditional Gose,3.98,3.98,,3.98,3.98,
1197,When We Were the Sky,Sour - Traditional Gose,3.98,3.98,,3.98,,3.98
1198,When We Were the Sky,Sour - Traditional Gose,3.98,3.98,,3.98,,
1199,When We Were the Sky,Sour - Traditional Gose,3.98,3.98,,,3.98,3.98
1200,When We Were the Sky,Sour - Traditional Gose,3.98,3.98,,,3.98,
1201,When We Were the Sky,Sour - Traditional Gose,3.98,3.98,,,,3.98
1202,When We Were the Sky,Sour - Traditional Gose,3.98,3.98,,,,
1203,When We Were the Sky,Sour - Traditional Gose,3.98,,3.98,3.98,3.98,3.98
1204,When We Were the Sky,Sour - Traditional Gose,3.98,,3.98,3.98,3.98,
1205,When We Were the Sky,Sour - Traditional Gose,3.98,,3.98,3.98,,3.98
1206,When We Were the Sky,Sour - Traditional Gose,3.98,,3.98,3.98,,
1207,When We Were the Sky,Sour - Traditional Gose,3.98,,3.98,,3.98,3.98
1208,When We Were the Sky,Sour - Traditional Gose,3.98,,3.98,,3.98,
1209,When We Were the Sky,Sour - Traditional Gose,3.98,,3.98,,,3.98
1210,When We Were the Sky,Sour - Traditional Gose,3.98,,3.98,,,
1211,When We Were the Sky,Sour - Traditional Gose,3.98,,,3.98,3.98,3.98
1212,When We Were the Sky,Sour - Traditional Gose,3.98,,,3.98,3.98,
1213,When We Were the Sky,Sour - Traditional Gose,3.98,,,3.98,,3.98
1214,When We Were the Sky,Sour - Traditional Gose,3.98,,,3.98,,
1215,When We Were the Sky,Sour - Traditional Gose,3.98,,,,3.98,3.98
1216,When We Were the Sky,Sour - Traditional Gose,3.98,,,,3.98,
1217,When We Were the Sky,Sour - Traditional Gose,3.98,,,,,3.98
1218,When We Were the Sky,Sour - Traditional Gose,3.98,,,,,
1219,When We Were the Sky,Sour - Traditional Gose,,3.98,3.98,3.98,3.98,3.98
1220,When We Were the Sky,Sour - Traditional Gose,,3.98,3.98,3.98,3.98,
1221,When We Were the Sky,Sour - Traditional Gose,,3.98,3.98,3.98,,3.98
1222,When We Were the Sky,Sour - Traditional Gose,,3.98,3.98,3.98,,
1223,When We Were the Sky,Sour - Traditional Gose,,3.98,3.98,,3.98,3.98
1224,When We Were the Sky,Sour - Traditional Gose,,3.98,3.98,,3.98,
1225,When We Were the Sky,Sour - Traditional Gose,,3.98,3.98,,,3.98
1226,When We Were the Sky,Sour - Traditional Gose,,3.98,3.98,,,
1227,When We Were the Sky,Sour - Traditional Gose,,3.98,,3.98,3.98,3.98
1228,When We Were the Sky,Sour - Traditional Gose,,3.98,,3.98,3.98,
1229,When We Were the Sky,Sour - Traditional Gose,,3.98,,3.98,,3.98
1230,When We Were the Sky,Sour - Traditional Gose,,3.98,,3.98,,
1231,When We Were the Sky,Sour - Traditional Gose,,3.98,,,3.98,3.98
1232,When We Were the Sky,Sour - Traditional Gose,,3.98,,,3.98,
1233,When We Were the Sky,Sour - Traditional Gose,,3.98,,,,3.98
1234,When We Were the Sky,Sour - Traditional Gose,,3.98,,,,
1235,When We Were the Sky,Sour - Traditional Gose,,,3.98,3.98,3.98,3.98
1236,When We Were the Sky,Sour - Traditional Gose,,,3.98,3.98,3.98,
1237,When We Were the Sky,Sour - Traditional Gose,,,3.98,3.98,,3.98
1238,When We Were the Sky,Sour - Traditional Gose,,,3.98,3.98,,
1239,When We Were the Sky,Sour - Traditional Gose,,,3.98,,3.98,3.98
1240,When We Were the Sky,Sour - Traditional Gose,,,3.98,,3.98,
1241,When We Were the Sky,Sour - Traditional Gose,,,3.98,,,3.98
1242,When We Were the Sky,Sour - Traditional Gose,,,3.98,,,
1243,When We Were the Sky,Sour - Traditional Gose,,,,3.98,3.98,3.98
1244,When We Were the Sky,Sour - Traditional Gose,,,,3.98,3.98,
1245,When We Were the Sky,Sour - Traditional Gose,,,,3.98,,3.98
1246,When We Were the Sky,Sour - Traditional Gose,,,,3.98,,
1247,When We Were the Sky,Sour - Traditional Gose,,,,,3.98,3.98
1248,When We Were the Sky,Sour - Traditional Gose,,,,,3.98,
1249,When We Were the Sky,Sour - Traditional Gose,,,,,,3.98
1250,When We Were the Sky,Sour - Traditional Gose,,,,,,
1251,Rick's Wife's Nuts,Stout - American,4.27,4.27,4.27,4.27,4.27,4.27
1252,Skillet Donut Stout (with Orange And Chocolate),Stout - American,4.04,4.04,4.04,4.04,4.04,4.04
1253,Skillet Donut Stout (with Raspberry And Hazelnut),Stout - American,4.11,4.11,4.11,4.11,4.11,4.11
1254,To Live With Hell Upon Us,IPA - Imperial / Double,4.3,4.3,4.3,4.3,4.3,4.3
1255,The Penance,Mild - Other,3.74,3.74,3.74,3.74,3.74,3.74
1256,A Place of Perpetual Ruin,IPA - Imperial / Double,4.2,4.2,4.2,4.2,4.2,4.2
1257,Wounds That Cannot Heal,Sour - Other,3.93,3.93,3.93,3.93,3.93,3.93
1258,Distributed Denial of Service,Kellerbier / Zwickelbier,3.93,3.93,3.93,3.93,3.93,3.93
1259,Ascent of the Blessed (2020),Sour - Other,4.12,4.12,4.12,4.12,4.12,4.12
1260,The Things Saved From Prayer,Sour - Fruited,4.1,4.1,4.1,4.1,4.1,4.1
1261,Deauville Cocktail,Sour - Other,3.79,3.79,3.79,3.79,3.79,3.79
1262,A Recurrent Plea,Lager - American,4.11,4.11,4.11,4.11,4.11,4.11
1263,In the Company of Premonitions,IPA - American,3.86,3.86,3.86,3.86,3.86,3.86
1264,Pitiless Indifference,Lager - Dark,3.94,3.94,3.94,3.94,3.94,3.94
1265,Born Unto These Street Gutters,IPA - Imperial / Double New England / Hazy,4.31,4.31,4.31,4.31,4.31,4.31
1266,Tonin' the Barbarian,IPA - American,4.16,4.16,4.16,4.16,4.16,4.16
1267,Delusional Deformities,IPA - Imperial / Double,4.34,4.34,4.34,4.34,4.34,4.34
1268,This Unraveling Mortality,Cider - Graff,3.38,3.38,3.38,3.38,3.38,3.38
1269,Pathway of Supremacy,Pilsner - Other,3.99,3.99,3.99,3.99,3.99,3.99
1270,Eternal Damnation,Farmhouse Ale - Saison,3.87,3.87,3.87,3.87,3.87,3.87
1271,A Mortally Conscious Decay,IPA - Imperial / Double,4.33,4.33,4.33,4.33,4.33,4.33
1272,"Everybody's Got To Live, Everybody's Got To Die",Stout - Imperial / Double,4.33,4.33,4.33,4.33,4.33,4.33
1273,Disciples of Agony (2020 Release),IPA - Imperial / Double,4.34,4.34,4.34,4.34,4.34,4.34
1274,A Departure From the Dawn,IPA - American,4.4,4.4,4.4,4.4,4.4,4.4
1275,To Stand In the Shadow of Immortality,IPA - American,4.15,4.15,4.15,4.15,4.15,4.15
1276,Tremé Pale Ale,Pale Ale - American,3.89,3.89,3.89,3.89,3.89,3.89
1277,A Portal Beyond Nonexistence (2020 and onward),Stout - Imperial / Double,4.44,4.44,4.44,4.44,4.44,4.44
1278,A Portal Into Infinite Nonexistence (2020 Release),Stout - Imperial / Double,4.47,4.47,4.47,4.47,4.47,4.47
1279,The Atonement,Stout - Irish Dry,3.88,3.88,3.88,3.88,3.88,3.88
1280,A Most Melancholy Visual,IPA - Imperial / Double New England / Hazy,4.38,4.38,4.38,4.38,4.38,4.38
1281,The Separation Of Light And Darkness With Peaches (2019 Harvest),Farmhouse Ale - Saison,4.23,4.23,4.23,4.23,4.23,4.23
1282,Camp Saison,Farmhouse Ale - Saison,4.12,4.12,4.12,4.12,4.12,4.12
1283,Rationality Shall Run Its Course,IPA - American,4.24,4.24,4.24,4.24,4.24,4.24
1284,Empire of Eternal Nothingness,Stout - Imperial / Double,4.52,4.52,4.52,4.52,4.52,4.52
1285,The Stillness of a Personal Hell,IPA - Imperial / Double,4.31,4.31,4.31,4.31,4.31,4.31
1286,All Together,IPA - New England / Hazy,4.22,4.22,4.22,4.22,4.22,4.22
1287,Violent Contrasts And Sublime Beauty,IPA - New England / Hazy,4.16,4.16,4.16,4.16,4.16,4.16
1288,The Beginning Is After the End,Porter - Coffee,4.14,4.14,4.14,4.14,4.14,4.14
1289,Apostle For None,Stout - Imperial / Double,4.49,4.49,4.49,4.49,4.49,4.49
1290,Ornaments of the Reckoning,Pilsner - Czech,4.1,4.1,4.1,4.1,4.1,4.1
1291,Anatomical Transmutation,IPA - Imperial / Double,4.41,4.41,4.41,4.41,4.41,4.41
1292,We Didn't Need A Real World,IPA - Triple,4.46,4.46,4.46,4.46,4.46,4.46
1293,Tearing Flesh From Bone (2020 Release),IPA - Imperial / Double,4.29,4.29,4.29,4.29,4.29,4.29
1294,Eighth Nail (Pine Box Collab),Sour - Fruited,4.19,4.19,4.19,4.19,4.19,4.19
1295,A Silence Beyond Comprehension,IPA - American,4.28,4.28,4.28,4.28,4.28,4.28
1296,I Was Particles Among the Sky And My Existence Became Nevermore,Stout - Imperial / Double Milk,4.48,4.48,4.48,4.48,4.48,4.48
1297,Crown of Grudges,IPA - Imperial / Double,4.34,4.34,4.34,4.34,4.34,4.34
1298,Fall of the Damned (2020 Release),Sour - Fruited,4.17,4.17,4.17,4.17,4.17,4.17
1299,The Revival,Pale Ale - American,3.67,3.67,3.67,3.67,3.67,3.67
1300,Exhumation of Restless Souls,Lager - Vienna,3.93,3.93,3.93,3.93,3.93,3.93
1301,A Fall From Grace,Farmhouse Ale - Saison,3.94,3.94,3.94,3.94,3.94,3.94
1302,What Came To Be,Farmhouse Ale - Saison,4.09,4.09,4.09,4.09,4.09,4.09
1303,Seventh Passing,Stout - Imperial / Double,4.48,4.48,4.48,4.48,4.48,4.48
1304,Amidst A Metaphorical Psychobabble,IPA - Triple New England / Hazy,4.5,4.5,4.5,4.5,4.5,4.5
1305,Fall of the Rebel Angels (2020 Release),Sour - Fruited,4.04,4.04,4.04,4.04,4.04,4.04
1306,Augmentation of Reality,Pilsner - Imperial / Double,4.19,4.19,4.19,4.19,4.19,4.19
1307,Anno Domini MMXX,Stout - Milk / Sweet,4.4,4.4,4.4,4.4,4.4,4.4
1308,Power of Rebellion,IPA - American,4.05,4.05,4.05,4.05,4.05,4.05
1309,Laid Beneath the Dirt,Stout - Imperial / Double Milk,,,,,,
1310,How This Will End,IPA - Imperial / Double,4.32,4.32,4.32,4.32,4.32,4.32
1311,A Sense of Somewhat Normalcy,IPA - American,4.28,4.28,4.28,4.28,4.28,4.28
1312,I Used To Consider the Consequences,IPA - Imperial / Double,4.44,4.44,4.44,4.44,4.44,4.44
1313,Nothing In Between,Sour - Other,3.99,3.99,3.99,3.99,3.99,3.99
1314,The Power of Voice,IPA - American,3.91,3.91,3.91,3.91,3.91,3.91
1315,Condemnation,IPA - Imperial / Double,4.24,4.24,4.24,4.24,4.24,4.24
1316,Black Is Beautiful,Stout - Imperial / Double,4.31,4.31,4.31,4.31,4.31,4.31
1317,From Precarious Places,Sour - Other,4.19,4.19,4.19,4.19,4.19,4.19
1318,People Power IPA,IPA - American,4.06,4.06,4.06,4.06,4.06,4.06
1319,In Between the Madness And Mortality,IPA - Triple,4.42,4.42,4.42,4.42,4.42,4.42
1320,The Bedlam in a World of Endless Nonsense,Stout - Imperial / Double Coffee,4.47,4.47,4.47,4.47,4.47,4.47
1321,The Lunar Pendulum of Vacant Light,Barleywine - Other,4.35,4.35,4.35,4.35,4.35,4.35
1322,Panacea of Collective Consciousness,Pale Ale - American,3.94,3.94,3.94,3.94,3.94,3.94
1323,An Infinite Nothing,Stout - Imperial / Double,4.58,4.58,4.58,4.58,4.58,4.58
1324,Transformative Disfiguration,IPA - Imperial / Double,4.38,4.38,4.38,4.38,4.38,4.38
1325,Reimagination of the Nonbeliever,Stout - Imperial / Double,4.45,4.45,4.45,4.45,4.45,4.45
1326,Provision Lager,Lager - Strong,3.93,3.93,3.93,3.93,3.93,3.93
1327,The Gravity of Weightless,Sour - Other,4.11,4.11,4.11,4.11,4.11,4.11
1328,Things Unimaginable,IPA - American,4.28,4.28,4.28,4.28,4.28,4.28
1329,Portal Between Genesis And Nonexistence,Stout - Imperial / Double,4.45,4.45,4.45,4.45,4.45,4.45
1330,Magnificent Forever,Sour - Other,4.27,4.27,4.27,4.27,4.27,4.27
1331,The Fate of All Things,IPA - Imperial / Double,4.36,4.36,4.36,4.36,4.36,4.36
1332,A Cruel World Nevertheless,Stout - Imperial / Double,4.33,4.33,4.33,4.33,4.33,4.33
1333,The Reverance In Ruin,IPA - American,4.07,4.07,4.07,4.07,4.07,4.07
1334,The Bastards of Lucidity,Wild Ale - American,4.08,4.08,4.08,4.08,4.08,4.08
1335,Never Said I Would Stay True,IPA - Imperial / Double,4.21,4.21,4.21,4.21,4.21,4.21
1336,A Deranged Meditation of Nonsequitur,Stout - Imperial / Double,4.46,4.46,4.46,4.46,4.46,4.46
1337,Casting Portents of Discontent,Brett Beer,3.63,3.63,3.63,3.63,3.63,3.63
1338,Melty Wolf,IPA - Imperial / Double New England / Hazy,,,,,,
1339,Intangible Expressions of Sentient Minds,Sour - Fruited,4.19,4.19,4.19,4.19,4.19,4.19
1340,The Distortion,IPA - Triple,4.46,4.46,4.46,4.46,4.46,4.46
1341,Camp Confection (only at Forestry Camp),Stout - Imperial / Double,4.43,4.43,4.43,4.43,4.43,4.43
1342,Invocation On the River of Laments,Bock - Doppelbock,3.9,3.9,3.9,3.9,3.9,3.9
1343,Camp Spritz,Dark Ale,3.96,3.96,3.96,3.96,3.96,3.96
1344,Apparitional Disintegration,IPA - Imperial / Double,4.32,4.32,4.32,4.32,4.32,4.32
1345,Illusions of Enlightenment,IPA - Imperial / Double,4.22,4.22,4.22,4.22,4.22,4.22
1346,A Mausoleum of Nonconformance,Stout - Imperial / Double,4.36,4.36,4.36,4.36,4.36,4.36
1347,Everything Dies,Sour - Other,4.14,4.14,4.14,4.14,4.14,4.14
1348,Blood Stained Idols,IPA - New England / Hazy,4.0,4.0,4.0,4.0,4.0,4.0
1349,Until It Ceases To Be,IPA - Imperial / Double,4.35,4.35,4.35,4.35,4.35,4.35
1350,"The Laughter, the Petulance, And the Scorn",IPA - Imperial / Double,4.36,4.36,4.36,4.36,4.36,4.36
1351,The Shattered Remains of Nothingness,Stout - Imperial / Double,4.42,4.42,4.42,4.42,4.42,4.42
1352,Forestry Camp Saison,Farmhouse Ale - Saison,,,,,,
1353,Evolved From Nothing,Stout - Imperial / Double,4.42,4.42,4.42,4.42,4.42,4.42
1354,The Fortress of Immaculate Thought,Sour - Fruited,4.17,4.17,4.17,4.17,4.17,4.17
1355,Interdimensional Amalgamation,IPA - Imperial / Double,4.35,4.35,4.35,4.35,4.35,4.35
